# Folkets lexikon sv→en (CC BY-SA 2.5)
# 36329 entries from folkets-lexikon.csc.kth.se
-procentig	per cent
-tonnare	-tonne vessel
-vänlig	-friendly
-väsen	service, system
-öring	-öre coin
..hej..	hi
1 ett	one
100000	one hundred thousand
30 dagar netto	net, 30 days
700-talet	6th century
a	A, a
a conto	on account
a-inkomst	income taxable at source
a-kassa	unemployment benefit society (fund)
a-skatt	withholding tax, pay-as-you-earn (P.A.Y.E.) tax
aachenområdet	the Aachen area
ab	Co., Inc., Ltd.
ab svensk bilprovning	the Swedish Motor Vehicle Inspection Co.
abbedissa	abbess
abborre	perch
abbé	abbé
abc	abc
abc-bok	primer, spelling-book
abc-stridsmedel	ABC weapons
abdikera	abdicate
aber	but, catch, snag
abf	ABF
ablativ	ablative
abnorm	abnormal
abonnemang	subscription
abonnemangsvillkor	deque
abonnent	subscriber
abonnenterna	subscribers
abonnera	subscribe
aborigin	Aboriginal, aborigine, noll
aboriginerna	aborigines
abort	abortion
abort|rådgivning	abortion guidance (counselling)
abrakadabra	mumbo-jumbo, nonsense
abrupt	abrupt
absolut	absolute, absolutely, certainly, definitely
absolutism	absolutism
absolutist	teetotaller, total abstainer
absorbera	absorb, fill, occupy, soak (suck) up
abstinens	abstinence
abstinensbesvär	withdrawal symptoms
abstinensprocess	abstinence process
abstinenssymptom	abstinense symptoms
abstrahera	abstract
abstrakt	abstract
abstraktion	abstraction
absurd	absurd
absurdistisk	absurd
accelerationsförmåga	ability to accelerate
accelerera	accelerate
accent	accent, stress
accentuera	accentuate
acceptabel	acceptable
acceptans	acceptance
acceptera	accept
accessnät	access network
accis	excise
aceton	acetone
acetylen	acetylene
acetylengas	acetylene gas
ack	oh dear!, oh!
acklamation	acclamation
acklimatisera	acclimatize
acklimatisera sig	become (get) acclimatized
ackommodera	accomodate
ackompanjera	accompany
ackord	chord, composition, piece rate, piecework
ackordlära	harvesting, umping
ackordsjobb	provisions
ackreditera	accredit
ackrediterade	accredited
ackumulator	accumulator
ackumulera	accumulate
ackumulering	accumulating, accumulation
ackurat	Precise
ackuratess	accuracy
acne	acne
action	action
ad	AD, art director
adamskostym	birth clothes
adams|äpple	Adam&#39;s apple
adb	ADP
addera	add
addition	addition
adekvat	adequate
adel	nobility
adelsbrev	letter of ennoblement
adelsfamilj	noble family
adelsfröken	upperlady
adelstitel	peerage title, title of aristocracy
adept	novice
aderton	eighteen
adjektiv	adjective
adjungera	call in
adjunkt	subject teacher
adjö	farewell!, goodbye!
adla	raise to the nobility
administration	administration
administrationsavdelning	administration department
administrationsavgift	Fee, administration fee, administrational fee, administrative fee, adminsittration fee
administrationskostnader	administration costs, administrations costs
administrativ	administrative
administratör	administrator
administrera	administer
adoptera	adopt
adoption	adoption
adoptionsförmedling	adoption agency
adoptivdotter	adopted daughter
adoptivfar	adoptive father
adoptivföräldrar	adoptive parents
adoptivföräldraskap	adoptive parenship, adoptive-parenthood
adoptivhem	foster home
adoptivmor	adoptive mother
adoptiv|barn	adopted child
adoptiv|förälder	adoptive parents
adrenalin	adrenaline
adrenalinflödet	adrenalinflow
adress	address
adressat	addressee
adressera	address
adressregister	Mailing list
adriatiska	adriatic
advent	Advent
adverb	adverb
adverbial	adverbial phrase
advokat	attorney, barrister, counsel, lawyer, solicitor
advokat|byrå	law office, solicitor&#39;s office
aero-	aero-
aerogram	aerogram, aerogramme
aero|dynamisk	aerodynamic
afasi	aphasia
affekt	(strong) emotion, passion
affekterad	affected
affektion	affection
affektions|värde	sentimental value
affinitet	affinity
affisch	placard, poster, bill
affischera	placard, post (bills)
affischtavla	Billboard
affischtavlor	billboard, posters
affischör	poster
affär	affair, business, deal, shop, transaction
affärsanställd	business employee, clerk
affärsbegåvad	bussiness talented
affärsbekant	business acquaintance
affärsbesök	business trip, sales visits
affärsbrev	business letters
affärscentrum	business center
affärsföreståndare	shop keeper
affärshus	shopping centre
affärsidé	business concept
affärsinnehavare	shop-keepers
affärsjurist	business lawyer
affärskontakt	business associate, business contact, obviously
affärsmetoder	buisness methods
affärsresa	business trip
affärsresor	buisness travels, business travel, business trip, business trips, bussines trip
affärsrörelse	business
affärssinne	business mind, businessminded, knack for business
affärstransaktion	business transaction, business transactions
affärsutveckling	business development
affärs|man	businessman
affärsägare	business owners, store keeper
afghanska	afghani
aforism	aphorism
afrika	africa
afrikan	African
afrikanisera	Africanize
afrikansk	African
afrodisiakum	afrodisiac
afro|frisyr	Afro hairdo
afton	evening
aftonbön	eveningprayers
aftondräkt	at once, beautiful dress/partydress, evening dress, evening gawn, evening gown, evening wear, tilange
aftonglöd	evening glow
aftonhimmel	evening sky
aftonklädd	dressed for dinner
aftonmåltid	supper
aftonpsalm	Vespers
aftonsol	evening sun
aftonstjärna	evening star
aftonsång	evening song, eveningsong
aga	administer corporal punishment, beat, chastise, corporal punishment, discipline, flog
agb	AGB
agenda	go away
agendan	agenda, the agenda
agent	agent, spy
agentroman	spy novel
agera	act, act as
agerande	acting, action
agg	grudge
agglomerera	agglomerate
aggregat	aggregate, unit
aggression	aggression
aggressiv	aggressive, belligerent
agitera	agitate, arouse public opinion
agn	bait
agnar	husks
agnkärl	bait container
agnosticism	Agnosticism
agnostiker	agnostic
agnostisk	agnostic
agrikultur	agriculture
agrikulturell	agricultural
agrokemins	emphasize
agronom	agronomist, graduate in agricultural sciences
agronomi	Agronomy
ags	AGS
aha-upplevelse	aha experience
aids	AIDS
aikido	aikido
aj	ow!, ouch!, oh!
ajournera	adjourn
ajö	bye-bye!
akacieträd	acacia tree
akademi	academy
akademiker	academic, academician, university graduate
akademisekreterare	academy secretary
akademisk	academic
akillessena	achilles tendon
akilles|häl	Achilles&#39; heel
akne	acne
akrobat	acrobat
akrobatik	acrobatics
akrobattrupp	troop of acrobats
akropol	Akropol
akropolismuseet	the acropolis museum
akryl	acrylic
